ID;Módulo;Funcionalidade;Descrição do Teste;Passos para Testar;Resultado Esperado;Resultado Obtido;Estado;Observações
T01;Autenticação;Login válido;Verificar login com credenciais corretas;1. Aceder à página de login 2. Inserir utilizador e palavra-passe válidos 3. Clicar em Entrar;Redireciona para o dashboard principal;;Não Testado;
T02;Autenticação;Login inválido;Verificar mensagem de erro com credenciais erradas;1. Inserir utilizador ou palavra-passe errados 2. Clicar em Entrar;Apresenta mensagem de erro visível;;Não Testado;
T03;Autenticação;Campo obrigatório;Verificar validação de campos vazios;1. Deixar campos em branco 2. Clicar em Entrar;Formulário não submete;;Não Testado;
T04;Autenticação;Logout via navbar;Verificar logout pelo botão na barra de navegação;1. Clicar no ícone de logout na navbar;Redireciona para página de login e limpa sessão;;Não Testado;
T05;Autenticação;Logout via configurações;Verificar logout pela página de configurações;1. Clicar no ícone de Configurações 2. Clicar em Terminar sessão;Redireciona para página de login;;Não Testado;
T06;Autenticação;Sessão expirada;Verificar comportamento com token expirado;1. Remover ou invalidar o token 2. Tentar navegar;Redireciona para login com mensagem de sessão expirada;;Não Testado;
T07;Navegação;Menu Frotas;Verificar navegação para módulo de Frotas;1. Clicar em Frotas na navbar;Apresenta a lista de frotas;;Não Testado;
T08;Navegação;Menu Frota Global;Verificar navegação para Frota Global;1. Clicar em Frota Global na navbar;Apresenta todas as viaturas;;Não Testado;
T09;Navegação;Menu Agenda;Verificar navegação para Agenda;1. Clicar em Agenda na navbar;Apresenta o calendário;;Não Testado;
T10;Navegação;Menu Rentabilidade;Verificar navegação para Rentabilidade;1. Clicar em Rentabilidade na navbar;Apresenta gráficos e estatísticas;;Não Testado;
T11;Navegação;Menu Stock;Verificar navegação para Stock;1. Clicar em Stock na navbar;Apresenta o inventário;;Não Testado;
T12;Navegação;Botão Configurações;Verificar navegação para Configurações;1. Clicar no ícone de Configurações (engrenagem);Abre a página de configurações;;Não Testado;
T13;Navegação;Logo;Verificar apresentação do logo Centrolider;1. Observar a navbar;Logo CENTROLIDER em azul e laranja visível;;Não Testado;
T14;Frotas;Listagem de frotas;Verificar apresentação da lista de frotas;1. Aceder ao módulo Frotas;Apresenta cartões com nome da frota e estatísticas;;Não Testado;
T15;Frotas;Cartões KPI;Verificar estatísticas no topo;1. Observar os cartões de resumo no topo;Total de Viaturas / Operacionais / Manutenção / Inativos corretos;;Não Testado;
T16;Frotas;Abrir detalhe de frota;Verificar acesso ao detalhe de uma frota;1. Clicar num cartão de frota;Abre a vista de detalhe da frota;;Não Testado;
T17;Detalhe da Frota;Lista de viaturas;Verificar listagem de viaturas na frota;1. Abrir detalhe de uma frota;Apresenta todos os veículos da frota com estado;;Não Testado;
T18;Detalhe da Frota;Adicionar viatura;Verificar criação de nova viatura;1. Clicar em Adicionar Viatura 2. Preencher formulário 3. Guardar;Viatura aparece na lista;;Não Testado;
